year,fueltax,total,expenditure,balance
1987,11397230,14310121,13469372,13613615
1988,11924588,15306591,14733537,14186668
1989,13464700,16872660,14450988,16608341
1990,11916846,15429719,15254147,16783913
1991,14998753,18452762,15740610,19496065
1992,14982587,18387915,16785596,21098383
1993,15904336,19598505,18556411,22140477
1994,15907171,19696220,22374507,19462191
1995,17934880,22189258,22651264,19000184
1996,21499799,25973548,23331333,21642400
1997,21131148,25309813,24519447,22434345
1998,23325005,28632665,24480228,26585752
1999,35259663,39301134,28910155,28959377
2000,30288334,34972518,32830906,31100988
2001,29027805,31469625,34830199,27740415
2002,30003853,32604057,38111703,22232640
2003,30670718,33726277,38144456,17814833
2004,31473730,34710772,37941137,14584467
2005,33277512,37828224,39931159,12542497
2006,32625835,38165744,35864205,15237492
2007,34042621,39346776,39184921,15416216
2008,33495984,36387160,43001526,16818851
2009,31768832,35126736,44852018,14093570
2010,32193720,35003557,39369691,29232607
2011,33662136,36937077,44531871,21637812
