State,Sales Tax,Federal Fuel Tax,State Fuel Tax,Registration Fees,Title Fees,Inspection Fees,Total
Alabama,2560,377.30304,428.56704,276,15,0,1096.87008
Alaska,1200,377.30304,164.0448,600,15,0,1156.34784
Arizona,3248,377.30304,389.6064,1390.8,4,120,2281.70944
Arkansas,2800,377.30304,447.02208,330,5,0,1159.32512
California,2720,377.30304,1035.5328,552,18,0,1982.83584
Colorado,2048,377.30304,451.1232,3011.4,9.05,310,4158.87624
Connecticut,2032,377.30304,922.752,480,25,130,1935.05504
Delaware,0,377.30304,471.6288,480,35,0,1363.93184
Florida,2160,377.30304,717.696,591,77.25,0,1763.24904
Georgia,2080,377.30304,586.46016,240,18,100,1321.7632
Hawaii,1360,377.30304,1000.67328,824.85,5,150,2357.82632
Idaho,2400,377.30304,512.64,384,14,66,1353.94304
Illinois,2680,377.30304,871.488,1188,95,160,2691.79104
Indiana,2240,377.30304,844.83072,252.6,15,0,1489.73376
Iowa,2240,377.30304,451.1232,3229.26,25,0,4082.68624
Kansas,2816,377.30304,512.64,420,10,20,1339.94304
Kentucky,1920,377.30304,613.11744,252,10,0,1252.42048
Louisiana,2360,377.30304,410.112,432,18.5,120,1357.91504
Maine,1600,377.30304,645.9264,420,33,222,1698.22944
Maryland,1920,377.30304,481.8816,1536,100,140,2635.18464
Massachusetts,2000,377.30304,481.8816,210,75,348,1492.18464
Michigan,1920,377.30304,863.28576,1372.108,15,0,2627.6968
Minnesota,2360,377.30304,586.46016,2773.692308,13.75,0,3751.205508
Mississippi,2280,377.30304,385.50528,168,9,60,999.80832
Missouri,2493.6,377.30304,354.74688,657,11,432,1832.04992
Montana,0,377.30304,570.05568,1446,12,0,2405.35872
Nebraska,2080,377.30304,555.70176,180,10,10,1133.0048
Nevada,2392,377.30304,678.73536,396,28.25,474,1954.2884
New Hampshire,0,377.30304,401.90976,518.4,25,240,1562.6128
New Jersey,2240,377.30304,297.3312,583,60,0,1317.63424
New Mexico,2560,377.30304,387.55584,667,3,180,1614.85888
New York,2080,377.30304,1051.93728,674.66875,55,444,2602.90907
North Carolina,2320,377.30304,775.11168,336,40,523.2,2051.61472
North Dakota,2080,377.30304,471.6288,804,5,0,1657.93184
Ohio,2120,377.30304,574.1568,408,16,0,1375.45984
Oklahoma,2456,377.30304,348.5952,992,11,0,1728.89824
Oregon,0,377.30304,635.6736,516,77,121,1726.97664
Pennsylvania,2240,377.30304,662.33088,432,22.5,612,2106.13392
Rhode Island,2240,377.30304,676.6848,360,51.5,19.5,1484.98784
South Carolina,2400,377.30304,344.49408,288,15,0,1024.79712
South Dakota,1600,377.30304,492.1344,566.1,5,0,1440.53744
Tennessee,2920,377.30304,438.81984,288,13,120,1237.12288
Texas,2320,377.30304,410.112,609,13,327,1736.41504
Utah,2504,377.30304,502.3872,516,6,337,1738.69024
Vermont,2080,377.30304,543.3984,924,33,60,1937.70144
Virginia,1680,377.30304,412.16256,489,10,360,1648.4656
Washington,2640,377.30304,768.96,525,25.5,90,1786.76304
West Virginia,2080,377.30304,684.88704,360,10,148.32,1580.51008
Wisconsin,1840,377.30304,674.63424,900,69.5,0,2021.43728
Wyoming,1920,377.30304,287.0784,3108,9,9,3790.38144
